model,dataset,decoder,evaluable,skip_reason,n_images,n_total_dets,map_50,map_50_95,eval_time_s,error
yolov3_voc_tf,voc,yolo_voc,True,,4952,20173,0.7701,0.4154,937.2,
face_mask_detection_pt,voc,,False,decoder None not implemented,0,0,,,,
